subject_number,time,duration
S1,1,95.006647
S2,1,108.200999
S3,1,90.893589
S4,1,81.578721
S5,1,88.927543
S6,1,94.831024
S7,1,84.594196
S8,1,81.68708
S9,1,91.482746
S10,1,79.91875
S11,1,90.37613
S12,1,87.238527
S13,1,80.563974
S14,1,84.003921
S15,1,81.831905
S16,1,104.957551
S17,1,86.780078
S18,1,91.020024
S19,1,92.626161
S20,1,87.96241
S21,1,91.859149
S22,1,79.461696
S23,1,83.24658
S24,1,78.98202
S25,1,79.597676
S26,1,85.993824
S27,1,94.205043
S28,1,83.522236
S29,1,79.516437
S30,1,78.369261
S31,1,86.589904
S32,1,97.984234
S33,1,91.116034
S34,1,99.70593
S35,1,77.795485
S36,1,91.907488
S37,1,83.559011
S38,1,89.409954
S39,1,98.310787
S40,1,76.378065
S41,1,87.998821
S42,1,80.703724
S43,1,77.807049
S44,1,80.366515
S45,1,75.571914
S46,1,96.822213
S47,1,85.07705
S48,1,81.038299
S49,1,85.466149
S50,1,83.362427
S51,1,86.740436
S52,1,86.870111
S53,1,92.737362
S54,1,83.568912
S55,1,85.937974
S1,2,93.554052
S2,2,110.565841
S3,2,91.981684
S4,2,84.884416
S5,2,84.858803
S6,2,92.155265
S7,2,87.554624
S8,2,76.22247
S9,2,92.875536
S10,2,85.589979
S11,2,103.78118
S12,2,86.631263
S13,2,78.219047
S14,2,81.926963
S15,2,80.432704
S16,2,99.769407
S17,2,81.484683
S18,2,83.709248
S19,2,87.275048
S20,2,85.67162
S21,2,95.731117
S22,2,81.095757
S23,2,86.422816
S24,2,87.965127
S25,2,82.98847
S26,2,84.797942
S27,2,93.219037
S28,2,79.668584
S29,2,76.551795
S30,2,82.69301
S31,2,93.039015
S32,2,89.422663
S33,2,91.138107
S34,2,99.083906
S35,2,79.12545
S36,2,92.277792
S37,2,88.211046
S38,2,89.847973
S39,2,89.740921
S40,2,74.720842
S41,2,83.242571
S42,2,81.349073
S43,2,80.960348
S44,2,88.791883
S45,2,76.557174
S46,2,88.999819
S47,2,81.260482
S48,2,81.46485
S49,2,94.579174
S50,2,83.606903
S51,2,81.079402
S52,2,84.84123
S53,2,94.048529
S54,2,82.832549
S55,2,92.687641
S1,3,89.507646
S2,3,109.503798
S3,3,88.581829
S4,3,84.959697
S5,3,85.990593
S6,3,90.00269
S7,3,89.215422
S8,3,80.739024
S9,3,91.302735
S10,3,82.057595
S11,3,108.924428
S12,3,87.80622
S13,3,82.59938
S14,3,84.361741
S15,3,79.182882
S16,3,99.782528
S17,3,82.740951
S18,3,84.66349
S19,3,88.745885
S20,3,86.061768
S21,3,92.458715
S22,3,81.241317
S23,3,86.643229
S24,3,86.615973
S25,3,85.449999
S26,3,86.715454
S27,3,90.802362
S28,3,79.665015
S29,3,78.141299
S30,3,83.286945
S31,3,91.052449
S32,3,89.678843
S33,3,96.508211
S34,3,97.420978
S35,3,80.158549
S36,3,91.554097
S37,3,89.028333
S38,3,91.313812
S39,3,86.788979
S40,3,79.999112
S41,3,85.287868
S42,3,81.168749
S43,3,83.019314
S44,3,88.218074
S45,3,79.837983
S46,3,86.293047
S47,3,80.970045
S48,3,83.204825
S49,3,97.548145
S50,3,83.943455
S51,3,81.978256
S52,3,83.047366
S53,3,99.570286
S54,3,84.28679
S55,3,96.802591
S1,4,89.731681
S2,4,107.197285
S3,4,86.210911
S4,4,85.075855
S5,4,89.542384
S6,4,91.032609
S7,4,90.993273
S8,4,81.056863
S9,4,93.191632
S10,4,82.79995
S11,4,106.031404
S12,4,87.969751
S13,4,81.993209
S14,4,84.238234
S15,4,80.461558
S16,4,101.253879
S17,4,83.289523
S18,4,85.977812
S19,4,88.306827
S20,4,89.107121
S21,4,90.834483
S22,4,80.305574
S23,4,88.217895
S24,4,89.030897
S25,4,84.56304
S26,4,89.509343
S27,4,89.414924
S28,4,80.701946
S29,4,80.437849
S30,4,83.969917
S31,4,92.483891
S32,4,88.468503
S33,4,94.050773
S34,4,103.16422
S35,4,80.610246
S36,4,94.606542
S37,4,88.978493
S38,4,91.404176
S39,4,87.399874
S40,4,79.287419
S41,4,86.874646
S42,4,82.781602
S43,4,83.354276
S44,4,89.027219
S45,4,83.154283
S46,4,84.781224
S47,4,82.498183
S48,4,85.344665
S49,4,96.969856
S50,4,85.668196
S51,4,80.460812
S52,4,83.65961
S53,4,99.799759
S54,4,83.222972
S55,4,95.760089
S1,5,88.716674
S2,5,104.270165
S3,5,87.306168
S4,5,84.764931
S5,5,89.73631
S6,5,89.047131
S7,5,91.751986
S8,5,79.856264
S9,5,94.904664
S10,5,80.802104
S11,5,106.124561
S12,5,83.239659
S13,5,82.698093
S14,5,82.657054
S15,5,80.268138
S16,5,100.471249
S17,5,86.140186
S18,5,83.991208
S19,5,90.366535
S20,5,88.639138
S21,5,89.337661
S22,5,81.241392
S23,5,88.090292
S24,5,88.090138
S25,5,84.76274
S26,5,88.017711
S27,5,88.924208
S28,5,81.029455
S29,5,82.318499
S30,5,84.62971
S31,5,89.254321
S32,5,88.467752
S33,5,93.788227
S34,5,105.068655
S35,5,82.022839
S36,5,93.884538
S37,5,88.45762
S38,5,91.494258
S39,5,84.929965
S40,5,78.475083
S41,5,86.969692
S42,5,82.552649
S43,5,83.503627
S44,5,87.924321
S45,5,83.291147
S46,5,83.802151
S47,5,83.080708
S48,5,85.777711
S49,5,96.438434
S50,5,83.775374
S51,5,82.581351
S52,5,83.620811
S53,5,101.758228
S54,5,82.651788
S55,5,94.600841