subject_number,time,m4_m3
S1,1,1.256081847
S2,1,1.14890614
S3,1,0.961817383
S4,1,1.338076231
S5,1,1.016234337
S6,1,1.130335033
S7,1,0.888786855
S8,1,1.119176846
S9,1,1.368810243
S10,1,1.299015243
S11,1,1.058344058
S12,1,0.966612742
S13,1,1.228411942
S14,1,0.929486366
S15,1,1.044565551
S16,1,1.46699822
S17,1,1.44722242
S18,1,0.975936556
S19,1,1.274261903
S20,1,1.381279152
S21,1,1.202441025
S22,1,1.036185865
S23,1,0.89845492
S24,1,1.386231383
S25,1,1.085057881
S26,1,1.262088204
S27,1,1.043696516
S28,1,1.089376681
S29,1,1.021468923
S30,1,1.085333966
S31,1,1.13023919
S32,1,1.010445867
S33,1,1.160459884
S34,1,1.345219436
S35,1,1.348697817
S36,1,1.197800489
S37,1,1.165489438
S38,1,1.365285583
S39,1,0.946753558
S40,1,1.126650261
S41,1,0.970589377
S42,1,1.456373494
S43,1,1.304374188
S44,1,1.213888233
S45,1,1.227569772
S46,1,0.87198129
S47,1,1.397262207
S48,1,1.12402854
S49,1,0.990460784
S50,1,1.066943883
S51,1,1.40750777
S52,1,1.288437827
S53,1,0.88382455
S54,1,0.984941305
S55,1,1.121404877
S1,2,1.169816066
S2,2,1.18583798
S3,2,1.003678737
S4,2,1.158309378
S5,2,0.99637733
S6,2,1.034029855
S7,2,1.004479068
S8,2,1.045447947
S9,2,1.151474066
S10,2,0.946561549
S11,2,1.186388557
S12,2,0.95877068
S13,2,1.233474021
S14,2,1.065022944
S15,2,1.051645249
S16,2,1.446532302
S17,2,1.204077065
S18,2,1.12422797
S19,2,1.133412055
S20,2,1.240757654
S21,2,1.218271375
S22,2,1.073859075
S23,2,1.037734821
S24,2,1.225079562
S25,2,1.070482095
S26,2,1.205627379
S27,2,1.162601093
S28,2,1.247613282
S29,2,1.027385397
S30,2,1.193390252
S31,2,1.194108502
S32,2,1.018934244
S33,2,0.978308568
S34,2,1.162463732
S35,2,1.345139176
S36,2,1.350829748
S37,2,1.088265953
S38,2,1.444636009
S39,2,1.164396673
S40,2,1.157734048
S41,2,1.037251043
S42,2,1.469237822
S43,2,1.305975874
S44,2,0.961245022
S45,2,1.181043304
S46,2,1.039857747
S47,2,1.275951295
S48,2,1.144853498
S49,2,1.070323651
S50,2,1.316536127
S51,2,1.176503706
S52,2,1.19090087
S53,2,0.903332306
S54,2,0.998936507
S55,2,1.118963697
S1,3,1.154216548
S2,3,0.950700106
S3,3,1.10711927
S4,3,1.11401295
S5,3,0.967843376
S6,3,1.186396395
S7,3,1.031880907
S8,3,1.098709927
S9,3,1.204879944
S10,3,1.071203959
S11,3,1.20300523
S12,3,1.03149259
S13,3,1.15801376
S14,3,1.102152547
S15,3,1.14992376
S16,3,1.243075684
S17,3,1.191876249
S18,3,1.135296427
S19,3,1.107694684
S20,3,1.143642729
S21,3,1.247166687
S22,3,1.132219649
S23,3,0.974368886
S24,3,1.189302859
S25,3,1.077969213
S26,3,1.119772728
S27,3,1
S28,3,1.116505953
S29,3,1.060658029
S30,3,1.152800468
S31,3,1.166031133
S32,3,1.005461527
S33,3,1.113962285
S34,3,1.112300313
S35,3,1.161343468
S36,3,1.23420363
S37,3,1.042795334
S38,3,1.284216762
S39,3,1.082898317
S40,3,1.106261154
S41,3,1.043810499
S42,3,1.31957121
S43,3,1.268389158
S44,3,0.944099548
S45,3,1.194961266
S46,3,1.077211583
S47,3,1.280410909
S48,3,1.142676098
S49,3,1.07952277
S50,3,1.200938592
S51,3,1.189859299
S52,3,1.141312877
S53,3,0.903990274
S54,3,0.945245181
S55,3,1.187410906
S1,4,1.103582526
S2,4,1.008841449
S3,4,1.033424199
S4,4,1.127915887
S5,4,0.979043412
S6,4,1.286417146
S7,4,0.986686721
S8,4,1.023024495
S9,4,1.244494883
S10,4,1.040464918
S11,4,1.208183429
S12,4,1.103617235
S13,4,1.12993459
S14,4,1.091151491
S15,4,1.104927273
S16,4,1.22870224
S17,4,1.153133571
S18,4,1.10845052
S19,4,1.110299001
S20,4,1.198332183
S21,4,1.239391756
S22,4,1.101953458
S23,4,1.019913275
S24,4,1.227420165
S25,4,1.183578056
S26,4,1.108123038
S27,4,0.954593488
S28,4,1.15542428
S29,4,1.042104517
S30,4,1.177340966
S31,4,1.108471575
S32,4,1.011080454
S33,4,1.157684768
S34,4,1.06692423
S35,4,1.137723961
S36,4,1.081023301
S37,4,1.119733853
S38,4,1.239375037
S39,4,1.041441988
S40,4,1.129342032
S41,4,1.121107197
S42,4,1.296845481
S43,4,1.301102497
S44,4,0.996204774
S45,4,1.120991213
S46,4,1.135021069
S47,4,1.201504297
S48,4,1.169473083
S49,4,1.067197255
S50,4,1.233157004
S51,4,1.0797387
S52,4,1.109138835
S53,4,0.871121536
S54,4,0.962576884
S55,4,1.096406476
S1,5,1.114136452
S2,5,0.984816437
S3,5,1.158888165
S4,5,1.100185219
S5,5,1.048070449
S6,5,1.246700314
S7,5,0.997117475
S8,5,1.034743165
S9,5,1.145433423
S10,5,1.01041145
S11,5,1.182035807
S12,5,1.134822503
S13,5,1.150687711
S14,5,1.10081851
S15,5,1.127712373
S16,5,1.256131186
S17,5,1.17452956
S18,5,1.137504742
S19,5,1.032994526
S20,5,1.239300989
S21,5,1.250679366
S22,5,1.063401629
S23,5,1.021675972
S24,5,1.151895924
S25,5,1.199445913
S26,5,1.079817176
S27,5,0.986647254
S28,5,1.112697634
S29,5,1.075560112
S30,5,1.205998773
S31,5,1.087203714
S32,5,0.94119586
S33,5,1.18161358
S34,5,1.088026663
S35,5,1.153421339
S36,5,1.154382547
S37,5,1.122582569
S38,5,1.256309392
S39,5,1.04331375
S40,5,1.121829846
S41,5,1.161762506
S42,5,1.223166673
S43,5,1.277678094
S44,5,1.091271113
S45,5,1.070129454
S46,5,1.173039862
S47,5,1.259578345
S48,5,1.177056627
S49,5,1.101998545
S50,5,1.191542068
S51,5,1.146733594
S52,5,1.117705383
S53,5,0.879909636
S54,5,1.042375255
S55,5,1.158433646